Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
EIF1AY	4.29325356518123	4.29933867694411	4.93042799880196	0.000339251571373634	0.910192608003432	-4.18230563200052
PSPH	3.23491261492115	4.12098929844437	2.33150211691025	0.0378042972710756	0.910192608003432	-4.43674459320432
RPS4Y1	2.82311660982735	7.95277292800089	3.63828663301334	0.00335499010520104	0.910192608003432	-4.28680837735108
IL32	2.81812377853383	6.58904567652181	3.16566602209163	0.00805918556237884	0.910192608003432	-4.33617970262914
ANKH	2.75406719333601	5.13521706419765	4.10702313372483	0.00142961525060665	0.910192608003432	-4.24394098802234
210230_at	2.728232554553	5.49539336234946	4.43077289417426	0.000803905370245154	0.910192608003432	-4.21774297416256
SLC22A3	2.60980911396114	5.58882117649291	4.29805277109073	0.0010163682140623	0.910192608003432	-4.22815896505878
FAM86C1	2.53568018711836	5.113601325836	6.90332752501979	1.57368533276057e-05	0.157368533276057	-4.08743831863497
KCNE5	2.27459106396763	5.33167098547125	4.20129668059097	0.00120745879517393	0.910192608003432	-4.23603412857423
221184_at	2.22767731272685	6.38847329792312	3.87900807183766	0.00215931200684914	0.910192608003432	-4.26404346925464
GPSM2	2.107376576031	6.36658000970763	2.63510662483153	0.0216413555453406	0.910192608003432	-4.3985130956292
NMRK2	2.07141123815963	8.84465860788521	3.49086569668485	0.00440406663958213	0.910192608003432	-4.30154513601957
RRAD	2.06953581560379	7.93433800060138	2.72231797135617	0.0184095955673636	0.910192608003432	-4.3878261685367
217019_at	2.05365151968939	5.3101954315448	2.61965791574569	0.0222691547205081	0.910192608003432	-4.40042177731643
DCAF17	1.96329786693894	5.27112654125529	4.00132951623639	0.00172961677240338	0.910192608003432	-4.25308520157878
U50277	1.92766745268508	4.7853609928816	3.94101051354833	0.00192925369640458	0.910192608003432	-4.25843816925111
DBP	1.8999551976487	5.7352827365455	2.53500506326913	0.0260380646708006	0.910192608003432	-4.41095795443545
PHOX2A	1.85350873689752	5.26773147321822	3.30533441519429	0.00621370161370637	0.910192608003432	-4.32094995336767
CHML	1.82119455707927	5.25512800646452	3.76618688954662	0.00265302749118794	0.910192608003432	-4.27451330371174
GPD1	1.78080057919905	7.10184755892215	2.32391413107406	0.0383296975962478	0.910192608003432	-4.43771631067022
STX1A	1.7638768712165	7.14432096808972	3.12480472704218	0.00869706361994966	0.910192608003432	-4.340734080514
MYBPH	1.71322842083627	7.15389966768223	2.25823074763349	0.0431785307818141	0.910192608003432	-4.44615115421614
BLOC1S1-RDH5	1.7026404338881	6.09635201697932	2.57861385717467	0.0240248305888896	0.910192608003432	-4.40551431946608
MYLK3	1.69489617313986	7.09891666335034	2.69569455969054	0.0193423188623827	0.910192608003432	-4.39107233188663
AU148086	1.67072076748696	5.99501726022326	2.40482935147874	0.0330704448574003	0.910192608003432	-4.42738812848209
BATF3	1.64100433344629	5.66793658723706	3.84284370482493	0.00230635404865781	0.910192608003432	-4.26736140396655
HCG26	1.61916055476193	5.53215993106059	3.61902354193365	0.00347611350073187	0.910192608003432	-4.2886995733834
AF023203	1.60011201004185	5.2386372718944	3.27055009064755	0.00662908240005195	0.910192608003432	-4.32469353343865
SND1-IT1	1.59436318136629	5.54631152913299	2.39844502181534	0.0334588305070365	0.910192608003432	-4.42820015187228
USP9Y	1.5904381667574	5.70919928903703	3.59715896540382	0.00361902050180121	0.910192608003432	-4.29085870953073
MLXIPL	1.5703913442716	6.09999729698381	2.0392389855227	0.0638848040518918	0.910192608003432	-4.47446160336148
Z23022	1.5580932559037	5.87983644151178	2.31248707914557	0.0391341182826564	0.910192608003432	-4.43918078554632
KIR2DL5A	1.55713284475951	6.57235652367449	3.07384400965765	0.00956411411395658	0.910192608003432	-4.34647552317722
RNASEL	1.55038240032046	5.67642695602759	2.14828469623834	0.0526228702281622	0.910192608003432	-4.46034238687187
HSD3B2	1.51282981148042	5.51601812936414	2.52128484132707	0.0267047520511156	0.910192608003432	-4.41267731854461
FBP2	1.5084680878949	7.92988410766894	1.65904306438275	0.122783447824616	0.910192608003432	-4.52315624086211
